homo	root	one, same	Greek	anomalous,anomaly,homeopathy,homeostasis	v:1	homo(0)=one, same	c:0	homeo/omal
hood	suffix	1. state, condition; 2.the whole group of	Old English	adulthood,boyhood,brotherhood,childhood	v:1	-hood(0)=1. state, condition; 2.the whole group of	c:0	
horr	root	tremble, bristle (as with fear)	Latin	abhor,abhorrent,horrid,horrify	v:1	horr(0)=tremble, bristle (as with fear)	c:0	hor
hosp	root	host, guest	Latin	hospice,hospitable,hospital,hospitality	v:1	hosp(0)=host, guest	c:0	host
host	root	stranger, enemy	Latin	hostage,hostile	v:1	host2(2)=stranger, enemy	c:0	
hydr	root	water, hydrogen, liquid	Greek	anhydride,carbohydrate,dehydrate,dehydrogenate	v:1	hydr(0)=water, hydrogen, liquid	c:0	hydro
hyp	prefix	under, below, less	Greek	hyphen,hypoblast,hypochlorous acid,hypochondria	v:1	hyp-(0)=under, below, less	c:0	hypo
hyper	prefix	over, beyond, excessive	Greek	hyper,hyperactive,hyperbola,Hyperborean	v:1	hyper-(0)=over, beyond, excessive	c:0	
hypn	root	sleep	Greek	hypnology,hypnosis,hypnotic,hypnotism	v:1	hypn(0)=sleep	c:0	hypno
i	prefix	not, without	Latin	ignorant,ignore	v:1	i-(0)=not, without	c:0	
